rank,kind,clip_id,proposed_shift_sec,jer_raw,jer_if_shifted,jer_gain,der_raw,der_if_shifted,der_gain,headroom_recovered,model_spread_sec,vad_agrees,gt_says_at_sec,shift_says_at_sec,transcript,listen_gt,listen_shifted,diagnostic,verdict,confirmed_shift_sec,checked_by,note
11,flagged,L7xRazDdtgw__19_83,4.0,0.8194,0.5655,0.2539,0.8427,0.5498,0.2929,0.6089354131608392,0.08,True,16.15,12.15,અચ્છા અં દામિની ક્યાં છે બોલાવજોને થોડી વાત કરવી છે,https://youtu.be/L7xRazDdtgw?t=35,https://youtu.be/L7xRazDdtgw?t=31,diagnostics/L7xRazDdtgw__19_83.svg,,,,
12,flagged,VKY0uuZ6Om8__575_935,5.0,0.4822,0.2297,0.2525,0.3921,0.1823,0.2098,0.5547070406045447,9.92,True,63.51,58.51,"त्यामुळे मी स सुधीर(Sudhir)-ला सांगितलं की, ठीक आहे, मग तू दुसरं कोणाला तरी दे. मी आधी हे नाटक करतो मा अ मा अधांतर(Adhantar). तर सुधीर(Sudhir)-ला आश्च",https://youtu.be/VKY0uuZ6Om8?t=638,https://youtu.be/VKY0uuZ6Om8?t=633,diagnostics/VKY0uuZ6Om8__575_935.svg,,,,
13,flagged,Bngfppo1QtA__28_927,2.5,0.5091,0.2615,0.2475,0.451,0.223,0.228,0.4761563184125949,0.04,True,722.73,720.23,హ్యాపీ(happy) హ్యాపీ(happy)గా నాకు బేసికల్‌(basical)-గా సాంగ్స్(songs) డాన్స్(dance) అదే ఇష్టం అసలు చాలా బాగా చేసారు మీరు మైనా మైనా అయితే ఆ స్లో(slow),https://youtu.be/Bngfppo1QtA?t=750,https://youtu.be/Bngfppo1QtA?t=748,diagnostics/Bngfppo1QtA__28_927.svg,,,,
14,flagged,ARCKJrGkITw__14_496,4.0,0.4213,0.1743,0.2471,0.3499,0.1489,0.201,0.7628492447428177,0.52,True,190.23,186.23,మనకంటే మంచిగానే తీసుకెళ్తాం మేము మంచిగానే చూసుకుంటాం మనకు ఎలాంటి ఇబ్బంది అయితే అయితే లేదు. వేరే రాష్ట్రాలకి కెళ్లి తెస్తే అట్లా ఇబ్బంది కానీ మేము పోలే,https://youtu.be/ARCKJrGkITw?t=204,https://youtu.be/ARCKJrGkITw?t=200,diagnostics/ARCKJrGkITw__14_496.svg,,,,
15,flagged,ExGJodnzocM__212_527,2.0,0.3993,0.1658,0.2334,0.3038,0.1367,0.1671,0.5117382970422432,2.86,True,94.33,92.33,नहीं नहीं इमोशनल (Emotional) अब वो अच्छा था एक वो जो मोड़ आया और हम दोनों ने बिकॉज़ (Because) वो काफ़ी शूटिंग (shooting) के कुछ दिनों बाद हुआ बिकॉज़ (,https://youtu.be/ExGJodnzocM?t=306,https://youtu.be/ExGJodnzocM?t=304,diagnostics/ExGJodnzocM__212_527.svg,,,,
16,flagged,JBYGLQJwFDc__103_407,3.0,0.655,0.4226,0.2323,0.4612,0.205,0.2561,0.7648558065389577,2.8,True,165.27,162.27,ஓகே (ok) ஃபைன் (fine) சூப்பர் (super) சோ (so) அவருக்கான பதில அழகா கொடுத்துட்டாரு சார் (sir) குயிக்கா (quick)-கா ஒரு ராபிட்ஃபயர் (rabbitfire) கொஸ்டின்ஸ,https://youtu.be/JBYGLQJwFDc?t=268,https://youtu.be/JBYGLQJwFDc?t=265,diagnostics/JBYGLQJwFDc__103_407.svg,,,,
17,flagged,IAm1rt-MYcA__4_558,4.0,0.372,0.144,0.228,0.2969,0.1199,0.177,0.7125257578191331,0.04,True,428.53,424.53,আর মানে আমি যখন কিশমিশের ফ্লোর (floor)-এ গিয়েছিলাম আমার কখনোই ফিলিং (feeling)-টা জেনারেট (generate) হয়নি যে আমি একজন সুপারস্টার (superstar)-এর সাথে ,https://youtu.be/IAm1rt-MYcA?t=432,https://youtu.be/IAm1rt-MYcA?t=428,diagnostics/IAm1rt-MYcA__4_558.svg,,,,
18,flagged,Gq45evw6ytY__597_1464,2.0,0.3765,0.1923,0.1842,0.3556,0.1711,0.1845,0.621716086184985,1.49,True,227.15,225.15,ଆପଣ ଯେଉଁ ମୋଟା ଥିଲେ ପ୍ରତି କିଲୋ (Kilo)ର ଦାମ୍ ଲକ୍ଷେ ଟଙ୍କା ଏମିତି କମେଣ୍ଟ (Comment) ଶୁଣିଲେ ଆପଣଙ୍କୁ କେମିତି ଲାଗେ ଆଉ ୟାର ଉତ୍ତର ଆପଣ କେମିତି ଦେବା ପାଇଁ ଚାହିଁବେ,https://youtu.be/Gq45evw6ytY?t=824,https://youtu.be/Gq45evw6ytY?t=822,diagnostics/Gq45evw6ytY__597_1464.svg,,,,
19,flagged,0SoItGfM_sY__7_88,2.0,0.6217,0.4398,0.182,0.3938,0.2613,0.1325,0.558137991895636,0.41,True,56.38,54.38,ಸೋ(so) ಜ್ಞಾನ ಮತ್ತೆ ಅವಕಾಶ ಯಾಕೆ ಎಲ್ಲರಿಗೂ ಸಿಗಲ್ಲ? ನಮಗೆ ಇವತ್ತು ಜ್ಞಾನ ಪೂರ್ತಿ ಸೆಕೆಂಡ್(second) ಹ್ಯಾಂಡ್(hand). ಯಾರೋ ಏನೋ ಮಾಡ್ತಾರೆ ಅದನ್ನ ನೋಡಿ ಇನ್ನೊಬ್ಬ ಬುಕ್(book,https://youtu.be/0SoItGfM_sY?t=63,https://youtu.be/0SoItGfM_sY?t=61,diagnostics/0SoItGfM_sY__7_88.svg,,,,
20,flagged,0p6cktLGIfY__12_930,3.0,0.6028,0.421,0.1818,0.3934,0.1617,0.2318,0.814974091604733,2.09,True,720.05,717.05,એક(1) વસ્તુ હું કહેવા માંગીશ થોડી વાર પહેલાં મેં જ્યારે કીધેલું કે બ્રોડવે(Broadway) જોવા માટે મેં પચ્ચીસ-હજાર-રૂપિયા(₹25000)-ની ટિકિટ(ticket) વાપરેલી,https://youtu.be/0p6cktLGIfY?t=732,https://youtu.be/0p6cktLGIfY?t=729,diagnostics/0p6cktLGIfY__12_930.svg,,,,
21,flagged,DPmew0didIM__191_512,2.0,0.4845,0.3046,0.1799,0.3471,0.1947,0.1524,0.5521760513804642,0.02,True,177.07,175.07,ఓకే(OK) సో(so) తప్పకుండా ఆడియన్స్(audience) విల్(will) ఫీల్(feel) వెరీ(very) వెరీ(very) ఫ్రెష్(fresh) వెరీ(very) నావెల్(novel) విత్(with) ది(the) ఎంటర,https://youtu.be/DPmew0didIM?t=368,https://youtu.be/DPmew0didIM?t=366,diagnostics/DPmew0didIM__191_512.svg,,,,
22,flagged,LqQHdo7t5Ps__198_498,3.5,0.2375,0.0597,0.1778,0.1556,0.0539,0.1017,0.6558039481494057,3.47,True,68.93,65.43,"मोतीबिंदू किंवा कॅटरॅक्ट(cataract) ज्या रुग्णांना झालेला असतो, त्यांना मुख्यतः अस्पष्ट दिसतं. डोळ्यासमोर असा धुरकट पडदा आल्यासारखा भास होऊ शकतो. काहीं",https://youtu.be/LqQHdo7t5Ps?t=266,https://youtu.be/LqQHdo7t5Ps?t=263,diagnostics/LqQHdo7t5Ps__198_498.svg,,,,
23,flagged,87Zbup3ohcw__106_445,3.5,0.3654,0.195,0.1704,0.2064,0.1148,0.0917,0.6616063479119417,0.54,True,145.01,141.51,பெண்களுக்கு கல்வி அறிவு வேணும் பெண்களுக்கு முன்னேற்றம் வேணும் அப்படின்னு நம்ம நினைக்கிறது ஒரு பக்கம் அதே நேரத்துல ஆண்களினுடைய ஆதிக்கம் அப்படிங்கிறது ஒ,https://youtu.be/87Zbup3ohcw?t=251,https://youtu.be/87Zbup3ohcw?t=247,diagnostics/87Zbup3ohcw__106_445.svg,,,,
24,flagged,RL2fhIEEbZg__66_1034,1.5,0.2975,0.1382,0.1593,0.2561,0.1175,0.1386,0.5345264160237496,0.04,True,380.77,379.27,అదే లేండి అంటే మర్చిపోతున్నారు కదా గుర్తు చేయడం ఎందుకు అని అలా చెప్పేసాను అన్నమాట సో(so) ఆ కారణాల వల్ల సో(so) ఓటీటీ(OTT) ప్లాట్ఫామ్(platform)-లో రిలీజ,https://youtu.be/RL2fhIEEbZg?t=446,https://youtu.be/RL2fhIEEbZg?t=445,diagnostics/RL2fhIEEbZg__66_1034.svg,,,,
25,flagged,7k-xDqNjESc__73_981,4.0,0.6393,0.4906,0.1488,0.3421,0.191,0.1511,0.5140285511107541,0.19,True,177.95,173.95,ആവശ്യമില്ലാത്ത ഡയലോഗ്സ് (dialogues) ഇല്ല കറക്റ്റ് (correct) ബാലൻസ്ഡ് (balanced) ആണ് പ്രൊപ്പോഷണലി (propotionally) നമ്മൾ ബാക്കി(back)ലോട്ട് ഞങ്ങളെ കൊണ്ട,https://youtu.be/7k-xDqNjESc?t=250,https://youtu.be/7k-xDqNjESc?t=246,diagnostics/7k-xDqNjESc__73_981.svg,,,,
26,flagged,2HGP34TNvjg__84_194,2.0,0.3317,0.1856,0.1462,0.2747,0.1775,0.0972,0.42118646917240626,2.68,True,18.81,16.81,ବାଏ(by) ଦ(the) ୱେ(way) ମାନେ ଗୋଟେ ଟ୍ରାନ୍ସଫର୍ମେସନ(transformation) ପରେ ଆଫ୍ଟର(after) ଏ(a) ଲଙ୍ଗ(long) ଗ୍ୟାପ(gap) ମାନେ ଏତେ ମାନେ ବାବୁଙ୍କୁ ଏମିତି ଲୁକରେ(look)-ର,https://youtu.be/2HGP34TNvjg?t=102,https://youtu.be/2HGP34TNvjg?t=100,diagnostics/2HGP34TNvjg__84_194.svg,,,,
27,flagged,4Qg2jWP6_T0__136_202,4.0,0.7746,0.6337,0.141,0.7223,0.5887,0.1337,0.6300550317594861,0.21,True,13.35,9.35,ਬੇਬੇ ਦੋ-ਸੌ(200) ਰੁਪਈਆ ਦੋ-ਸੌ(200) ਰੁਪਈਆ ਤਾਂ<noise>ਇੱਥੇ ਹਰੇਕ ਨੂੰ ਦੇ ਦਿੰਦੇ ਬੇਬੇ ਦੋ(2) ਚਾਰ-ਸੌ(400) ਤੋਂ ਵੱਧ ਦੀ ਲੋੜ ਹੈ ਇਹ <unintelligible>,https://youtu.be/4Qg2jWP6_T0?t=149,https://youtu.be/4Qg2jWP6_T0?t=145,diagnostics/4Qg2jWP6_T0__136_202.svg,,,,
28,flagged,Cku_X_SL7qU__60_660,1.5,0.5411,0.402,0.1392,0.6363,0.446,0.1903,0.38403844332020887,0.03,True,214.77,213.27,સો ફિફ્થ સ્ટાન્ડર્ડ ટુ થાઉઝન્ડ ફાઈવ યા ટુ થાઉઝન્ડ સિક્સ માં પી સી આવ્યું હતું ઘરમાં હા ટુ થાઉઝન્ડ ફાઈવ ઓર સિક્સ માં અને જેમાં હું કાઉન્ટર સ્ટ્રાઈક રમત,https://youtu.be/Cku_X_SL7qU?t=274,https://youtu.be/Cku_X_SL7qU?t=273,diagnostics/Cku_X_SL7qU__60_660.svg,,,,
29,flagged,PSIzXy5-y2E__2_918,2.0,0.2639,0.1299,0.134,0.2698,0.1304,0.1394,0.6298000906678326,0.23,True,547.49,545.49,अ स राजकुमार सरां(sir)-नी मला खूप चांगलं गायडन्स(guidance) केलं. त्यांचा स्वभाव मला खूप आवडला. अ एकदम शांत स्वभावाचे आहेत आणि त्यांच्या पहिले मला त्या,https://youtu.be/PSIzXy5-y2E?t=549,https://youtu.be/PSIzXy5-y2E?t=547,diagnostics/PSIzXy5-y2E__2_918.svg,,,,
30,flagged,VY_4x1scS-Y__13_121,2.5,0.4224,0.2954,0.127,0.3262,0.2261,0.1002,0.5633578686721359,2.38,True,48.99,46.49,ஒரு இது எப்படி இருக்கும் ஃபுல் (full) கமர்ஷியலா (commercial)-லா பண்ணா நல்லா இருக்கும்னு நினைக்கிறியா இல்ல இந்த மாதிரி லவ் (love) மூவீஸ்ல (movies)-ல ரெ,https://youtu.be/VY_4x1scS-Y?t=61,https://youtu.be/VY_4x1scS-Y?t=59,diagnostics/VY_4x1scS-Y__13_121.svg,,,,
31,flagged,7L4gi7Ncc0s__90_148,3.0,0.2143,0.0905,0.1238,0.1422,0.0927,0.0495,0.7610426868477024,3.02,True,22.39,19.39,ലെറ്റ്സ് (lets) മൂവ് (move) എന്നതാണ് അന്താരാഷ്ട്ര ഒളിമ്പിക് (olympic) കമ്മിറ്റി(committee)-യുടെ ഈ വർഷത്തെ ഒളിമ്പിക് (olympic) ദിന സന്ദേശം ജീവിതശൈലിയിൽ,https://youtu.be/7L4gi7Ncc0s?t=112,https://youtu.be/7L4gi7Ncc0s?t=109,diagnostics/7L4gi7Ncc0s__90_148.svg,,,,
32,flagged,2T4pjueLrsk__677_1290,1.0,0.5776,0.4555,0.1222,0.4267,0.2706,0.1561,0.6679455670614456,0.03,True,520.01,519.01,જ્યારે લોકો અમુક વખતે પૂછે એટલે આમ ઘણી વખત બહુ સારું લાગે પણ અમુક લોકો જે હોય છે ને એવા જેને ખબર હોય છતાં પણ પ્રશ્ન પૂછે આવીને તમારા મોઢે સાંભળવા માટે,https://youtu.be/2T4pjueLrsk?t=1197,https://youtu.be/2T4pjueLrsk?t=1196,diagnostics/2T4pjueLrsk__677_1290.svg,,,,
33,flagged,IfTL8SSN270__62_671,2.0,0.3243,0.214,0.1103,0.285,0.179,0.106,0.5501869111365422,0.05,True,308.19,306.19,बोलियां लगती है। गवर्नमेंट (Government) ऑफिसर (officer) जो होते हैं लड़के मैंने तो सुना भी है देखा भी है कि रेट (rate) लगता है कि अगर कोई बड़ा ऑफिसर (,https://youtu.be/IfTL8SSN270?t=370,https://youtu.be/IfTL8SSN270?t=368,diagnostics/IfTL8SSN270__62_671.svg,,,,
34,flagged,86mMTUeDiR8__181_1079,1.0,0.6749,0.5724,0.1026,0.5295,0.3703,0.1592,0.6974985172643013,0.02,True,604.61,603.61,আর এটা হচ্ছে অ্যাশ (ash) পন্ডে আসছে থার্মাল (thermal) পাওয়ার (power) প্লান্ট (plant)-এ পাইপ (pipe) দিয়ে ওয়াটার (water) দিয়ে নিয়ে আসে অ্যাশ (ash) প,https://youtu.be/86mMTUeDiR8?t=785,https://youtu.be/86mMTUeDiR8?t=784,diagnostics/86mMTUeDiR8__181_1079.svg,,,,
35,flagged,Tlha36rSd5o__240_374,1.5,0.175,0.1048,0.0702,0.1795,0.1133,0.0662,0.6097599337584362,0.04,True,79.21,77.71,அதுக்கப்புறம் விஜய் அண்ணனை பத்தி தனியா சொல்றதுக்கு இப்படி ஒரு இடத்தை சொல்றது எனக்கு அது பெருமையா இருக்குது இன்னைக்கு இவ்வளவு பெரிய ஒரு இடத்துல விஜய் அ,https://youtu.be/Tlha36rSd5o?t=319,https://youtu.be/Tlha36rSd5o?t=317,diagnostics/Tlha36rSd5o__240_374.svg,,,,
36,flagged,0VEwL9XZ0LY__261_557,1.0,0.2375,0.1731,0.0644,0.2142,0.1493,0.0649,0.7020522000740237,1.19,True,85.35,84.35,"इन(In) द(the) सिमिलर(similar) फॅशन(fashion) तुम्ही एखादी गोष्ट करत असताना तुम्ही जरी का झोकून देऊन काम करत असलात, तरी सुद्धा तुमचं अ फिनान्सेस(finance",https://youtu.be/0VEwL9XZ0LY?t=346,https://youtu.be/0VEwL9XZ0LY?t=345,diagnostics/0VEwL9XZ0LY__261_557.svg,,,,
37,flagged,HpYG46tGyYs__103_998,1.5,0.1069,0.0602,0.0467,0.0935,0.0545,0.039,0.5362605796710541,1.47,True,484.75,483.25,था कि हम लोगों को हार्ट (Heart) डिजीज (Disease) दस साल पहले होती है वेस्टर्न (western) पॉपुलेशन (population) से सो (So) समवेयर (somewhere) रिस्क (risk,https://youtu.be/HpYG46tGyYs?t=587,https://youtu.be/HpYG46tGyYs?t=586,diagnostics/HpYG46tGyYs__103_998.svg,,,,
38,flagged,T3I2T-cfhG4__160_210,1.5,0.1339,0.1111,0.0228,0.1263,0.1139,0.0124,0.6186685052447174,1.33,True,26.41,24.91,"की माझा असा ठाम विश्वास आहे की, एकटा माणसाचं जेव्हा तो प्रगतीच्या पथावर चालायला लागतो, त्यावेळेला एकूणात अ देश म्हणून प्रगती होणं, हे नेहमी प साध्य हो",https://youtu.be/T3I2T-cfhG4?t=186,https://youtu.be/T3I2T-cfhG4?t=184,diagnostics/T3I2T-cfhG4__160_210.svg,,,,
39,flagged,8r2Nltl0W4o__259_320,-4.5,0.6026,0.582,0.0206,0.2443,0.2655,-0.0212,0.5084413006150652,0.26,False,43.59,48.09,ਪਰ ਵੀ ਮਤਲਬ ਕਿਉਂਕਿ ਉਹਨਾਂ ਦੇ ਡਿਲੇਜ਼(Delays) ਚੱਲ ਰਹੇ ਨੇ ਇੰਨੇ ਜ਼ਿਆਦਾ। ਉਹ ਡਰਾਜ਼(Draws) ਵੀ ਨਹੀਂ ਕੱਢ ਪਾ ਰਹੇ। ਤੁਸੀਂ ਇਹ ਦੇਖੋ ਪਿਛਲੇ ਸਾਲ ਹੁਣ ਤੱਕ ਜਿਹੜਾ ਅਠਾਰਾਂ(18),https://youtu.be/8r2Nltl0W4o?t=302,https://youtu.be/8r2Nltl0W4o?t=307,diagnostics/8r2Nltl0W4o__259_320.svg,,,,
,control,83gP2vLH7UY__255_2005,4.0,0.325,0.1838,0.1412,0.3023,0.1514,0.1509,0.8505380683498001,0.23,True,729.37,725.37,पुण्यावरनं आपल्याबरोबर आहेत स्टुडिओमधनं ज्योतिर्वेद पंडित शिवकुमार श्री आपल्याबरोबर आहेत त्याचप्रमाणे ब्राईट संघटनेचे कुमार नागे आपल्याबरोबर आहेत पुण्,https://youtu.be/83gP2vLH7UY?t=984,https://youtu.be/83gP2vLH7UY?t=980,,,,,
,control,BYLcUGNB_zM__20_1387,4.0,0.1499,0.0435,0.1064,0.1106,0.0447,0.0659,0.6903342171088669,4.04,True,349.33,345.33,ತಗೋಬೇಡಿ ಅನ್ನ ಬದಲು ಅನ್ನ ಅಂದ್ರೆ ಸ್ವಲ್ಪ ಸ್ಪೆಸಿಫೈ(specify) ಮಾಡಬೇಕು ವೈಟ್(white) ರೈಸ್(rice) ಅಂತ ಯಾಕಂದ್ರೆ ವೈಟ್(white) ರೈಸ್(rice) ಅನ್ನೋದು ಪಾಲಿಶ್(polish) ಆಗಿರೋ,https://youtu.be/BYLcUGNB_zM?t=369,https://youtu.be/BYLcUGNB_zM?t=365,,,,,
,control,NLgHpYyf5bY__313_383,4.0,0.3344,0.1603,0.1742,0.1985,0.1133,0.0852,0.21057157470749951,2.88,True,23.17,19.17,बाकी आपको यही मैसेज (message) है कि कोई भी स्पाइन (spine) का पेशेंट (patient) कोई भी अगर इस समस्या से जूझ रहा है जिसमें नसों पे दबाव है पैर सुन्न होते,https://youtu.be/NLgHpYyf5bY?t=336,https://youtu.be/NLgHpYyf5bY?t=332,,,,,
,control,EmsKkNN2Me4__35_95,3.0,0.5814,0.2568,0.3246,0.4968,0.2573,0.2395,0.27085337336845394,0.02,True,32.12,29.12,"ഒന്ന് (1) രണ്ട് (2) മൂന്ന് (3) നാല് (4) അഞ്ച് (5), ആറ് (6), ഏഴ് (7), എട്ട് (8), ഒമ്പത് (9), പത്ത് (10), പതിനൊന്ന് (11) പന്ത്രണ്ട് (12), പതിമൂന്ന് (13)",https://youtu.be/EmsKkNN2Me4?t=67,https://youtu.be/EmsKkNN2Me4?t=64,,,,,
,control,7WhVNRHbjIY__91_1089,3.0,0.177,0.0621,0.1149,0.1138,0.0471,0.0667,0.596939400122424,1.16,True,322.17,319.17,"அதான் அதான், அது மாதிரி ஒரு ஒரு கண்ட்ரியும் அவங்க அவங்க என்ன முடியுமோ அதை, என்னங்க ஒரு சின்ன புழு கூட நீங்க அமுக்குனீங்கன்னா தலையை தூக்கும். அந்த அளவு",https://youtu.be/7WhVNRHbjIY?t=413,https://youtu.be/7WhVNRHbjIY?t=410,,,,,
,control,GfFLEIAAumk__90_163,3.0,0.2183,0.1563,0.0619,0.1602,0.1277,0.0324,0.3250587381276945,6.52,True,48.27,45.27,না ফাঁক না আমরা ইতিমধ্যেই কিন্তু আমাদের আপনি যদি আমাদের ওয়েবসাইট (website)-এ যান তাহলে আপনি দেখতে পাবেন আমাদের যে ঋণের সুদের হার আমরা এক অংকে নামিয়ে,https://youtu.be/GfFLEIAAumk?t=138,https://youtu.be/GfFLEIAAumk?t=135,,,,,
,control,Kdi-ECuOaKg__2_78,2.0,0.7605,0.7077,0.0529,0.9785,0.8651,0.1133,0.2817818084541138,4.1,False,55.11,53.11,അപ്പു നീ തെറ്റൊന്നും ചെയ്തിട്ടില്ലെന്ന് എനിക്കറിയാം എനിക്ക് നിന്നെ വിശ്വാസമാണ് അത് ഞാൻ നിന്റെ അമ്മയായതുകൊണ്ടാ അതേസമയം ഞാൻ മായയുടെ (Maya)-യുടെ സ്ഥാനത്ത,https://youtu.be/Kdi-ECuOaKg?t=57,https://youtu.be/Kdi-ECuOaKg?t=55,,,,,
,control,Ig6szCD8m20__46_106,2.0,0.3913,0.1506,0.2407,0.2813,0.117,0.1643,0.46837885937270396,0.08,True,46.33,44.33,कमर्शियल(commercial) गाड्या पण बऱ्याच खूप साऱ्या आहेत. त्या पण आपण व्हिडिओ(video)-मध्ये पुढे कव्हर(cover) करणार. तो व्हिडिओ(video) शेवटपर्यंत बघत राहा,https://youtu.be/Ig6szCD8m20?t=92,https://youtu.be/Ig6szCD8m20?t=90,,,,,
